Filename 	Type	Descriptor 1	Descriptor 2	Start Time	End Time	Other
140522-000.mp3	Technique	Scales	3v4			
140522-001.mp3	Removed	Empty				
140522-002.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-003.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-004.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1			
140522-005.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1			Distortion
140522-006.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-007.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1	0:00	2:57	
140522-007.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 2	2:59	End	Distortion
140522-008.mp3	Removed	Empty				
140522-009.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 2			
140522-010.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-011.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-012.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-013.mp3	Removed	Empty				
140522-014.mp3	Removed	Empty				
140522-015.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-016.mp3	Improvisation			0:00	0:10	
140522-016.mp3	Speech			0:11	0:13	
140522-016.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	0:13		Distortion
140522-017.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Distortion
140522-018.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-019.mp3	Removed	Empty				
140522-020.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-021.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1			Full?
140522-022.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Full?
140522-023.mp3	Speech			0:00	0:03	
140522-023.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	0:05	0:06	
140522-024.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-025.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-026.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-027.mp3	Removed	Lesson				
140522-028.mp3	Speech					Metronome
140522-029.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140522-030.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
