Filename 	Type	Descriptor 1	Descriptor 2	Start Time	End Time	Other
140504-000.mp3	Technique	Scales				
140504-001.mp3	Technique	Scales				
140504-002.mp3	Technique	Scales				
140504-003.mp3	Technique	Rach. Excercises				
140504-004.mp3	Technique	Rach. Excercises				
140504-005.mp3	Technique	Arpeggios				
140504-006.mp3	Technique	Arpeggios				
140504-007.mp3	Technique	Arpeggios				
140504-008.mp3	Removed	Empty				
140504-009.mp3	Technique	Arpeggios				
140504-010.mp3	Technique	Arpeggios				
140504-011.mp3	Technique	Arpeggios				
140504-012.mp3	Technique	Arpeggios				
140504-013.mp3	Technique	Arpeggios				
140504-014.mp3	Technique	7th Chords				
140504-015.mp3	Removed	Empty				
140504-016.mp3	Removed	Empty				
140504-017.mp3	Technique	7th Chords				
140504-018.mp3	Technique	7th Chords				
140504-019.mp3	Technique	7th Chords				
140504-020.mp3	Sight-Reading	Beethoven				
140504-021.mp3	Sight-Reading					
140504-022.mp3	Sight-Reading					
140504-023.mp3	Sight-Reading					
140504-024.mp3	Removed	Empty				
140504-025.mp3	Sight-Reading	Beethoven	Op. 28, Mvt. 3			
140504-026.mp3	Sight-Reading					
140504-027.mp3	Sight-Reading					
140504-028.mp3	Sight-Reading					Removed End
140504-029.mp3	Sight-Reading					
140504-030.mp3	Sight-Reading					
140504-031.mp3	Removed	Empty				
140504-032.mp3	Sight-Reading					
140504-033.mp3	Sight-Reading					Metronome
140504-034.mp3	Sight-Reading					
140504-035.mp3	Sight-Reading					
140504-036.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140504-037.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140504-038.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Metronome
140504-039.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			Metronome
140504-040.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140504-041.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140504-042.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140504-043.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140504-044.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	0:00	3:44	
140504-044.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1	3:47	End	
140504-045.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1	0:00	3:15	
140504-045.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	3:15		
140504-046.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1			
140504-047.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1			
140504-048.mp3	Removed	Empty				
