Filename 	Type	Descriptor 1	Descriptor 2	Start Time	End Time	Other
140502-000.mp3	Technique	Scales				
140502-001.mp3	Technique	Scales				
140502-002.mp3	Technique	Rach. Exercises				
140502-003.mp3	Technique	Rach. Exercises				
140502-004.mp3	Technique	Arpeggios				
140502-005.mp3	Technique	Arpeggios				
140502-006.mp3	Technique	Arpeggios				
140502-007.mp3	Technique	Arpeggios				
140502-008.mp3	Technique	Arpeggios				
140502-009.mp3	Technique	Arpeggios				
140502-010.mp3	Technique	Arpeggios				
140502-011.mp3	Removed	Empty				
140502-012.mp3	Technique	7th Chords				
140502-013.mp3	Technique	7th Chords				
140502-014.mp3	Technique	7th Chords				
140502-015.mp3	Removed	Empty				
140502-016.mp3	Removed	Empty				
140502-017.mp3	Removed	Empty				
140502-018.mp3	Removed	Empty				
140502-019.mp3	Removed	Empty				
140502-020.mp3	Sight-Reading	Beethoven	Op. 28, Mvt. 2			
140502-021.mp3	Sight-Reading	Beethoven	Op. 28, Mvt. 2			
140502-022.mp3	Sight-Reading	Beethoven	Op. 28, Mvt. 3			
140502-023.mp3	Sight-Reading	Beethoven	Op. 28, Mvt. 3			
140502-024.mp3	Removed	Empty				
140502-025.mp3	Sight-Reading	Beethoven	Op. 28, Mvt. 1			
140502-026.mp3	Improvisation			0:00	0:20	
140502-026.mp3	Repertoire	Bach	BWV 872, Prelude	0:25	2:11	
140502-026.mp3	Repertoire	Bach	BWV 872, Fugue	2:12	4:28	
140502-026.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	4:28	End	
140502-027.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-028.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-029.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-030.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-031.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-032.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-033.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-034.mp3	Removed	Speech				
140502-035.mp3	Removed	Empty				
140502-036.mp3	Removed	Speech				
140502-037.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-038.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-039.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-040.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140502-041.mp3	Removed	Empty				
140502-042.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	Start	3:17	
140502-042.mp3	Repertoire	Speech		3:17	End	
