Filename 	Type	Descriptor 1	Descriptor 2	Start Time	End Time	Other
140505-000.mp3	Technique	Arpeggios				
140505-001.mp3	Technique	Arpeggios				
140505-002.mp3	Repetoire	Prokofiev	Op. 29, Mvt. 1	0:00	11:11	
140505-002.mp3	Technique	Improvisation		11:15	12:00	
140505-002.mp3	Repetoire	Prokofiev	Op. 29, Mvt. 1	12:03	End	
140505-003.mp3	Repertoire 	Chopin	Op. 15 No. 2	0:00	0:34	
140505-003.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 1	0:37		
140505-004.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 1			
140505-005.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 1	0:00	2:18	
140505-005.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	2:19	End	
140505-006.mp3	Speech					
140505-007.mp3	Speech					
140505-008.mp3	Speech					
140505-009.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	0:00	4:28	
140505-009.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3	4:42	End	
140505-010.mp3	Removed	Empty				
140505-011.mp3	Removed	Empty				
140505-012.mp3	Removed	Empty				Metronome
140505-013.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	0:00	1:41	Metronome
140505-013.mp3	Removed	Empty		1:41	1:51	Metronome
140505-014.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2			Metronome
140505-015.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2			Metronome
140505-016.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2			
140505-017.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	0:00	0:43	
140505-017.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3	0:44	1:04	
140505-017.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	1:12	End	
140505-018.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2			
140505-019.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2			Metronome
140505-020.mp3	Removed	Empty				
140505-021.mp3	Removed	Empty				
140505-022.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2			
140505-023.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	0:00	1:22	
140505-023.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 2	1:23	2:01	
140505-023.mp3	Speech			2:03	End	
140505-024.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3	0:00	3:13	Metronome, Counting
140505-024.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3	3:18	End	
140505-025.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-026.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-027.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-028.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-029.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-030.mp3	Removed	Empty				
140505-031.mp3	Removed	Empty				
140505-032.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-033.mp3	Removed	Empty				
140505-034.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-035.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-036.mp3	Repertoire 	Prokofiev	Op. 29, Mvt. 3			
140505-037.mp3	Removed	Empty				
140505-038.mp3	Speech					
140505-039.mp3	Removed	Lesson				
140505-040.mp3	Sight-Reading	Rameau	Gavotte avec Six Doubles			
140505-041.mp3	Removed	Lesson				
